Year,Department,Compensation_mean,NumberOfPeople
2012,Animal - Animal Shelter,23985.35,29
2012,BPS - Board of Public Safety,634.4,4
2012,CFRD - Community & Family Resources,29578.5,17
2012,Clerk - Clerk,16565.93,7
2012,Controller - Controller,45041.26,8
2012,Council - Council,16140.3,16
2012,ESD - Economic & Sustainable Dev,30709.97,6
2012,Eng - Engineering,46030.23,8
2012,Facilities - Maintenance,32221.9,4
2012,Fire - Fire,56420.82,109
2012,Fleet - Fleet,39748.23,11
2012,HAND - Housing & Neighborhood Dev,40094.32,18
2012,HR - Human Resources,23615.73,13
2012,ITS - Information & Technology Service,45394.2,20
2012,Legal - Legal,55986.2,8
2012,OOTM - Office of the Mayor,25136.87,13
2012,PW - Public Works,32831.18,11
2012,Parking - Parking Enforcement,14793.59,39
2012,Parks - Parks & Recreation,8956.39,405
2012,Plan - Planning,39595.69,19
2012,Pol - Police,52160.5,140
2012,Risk - Risk,53559.63,4
2012,Sanitation - Sanitation,34006.64,28
2012,Street - Street,28148.42,52
2012,Traffic - Traffic,19793.51,3
2012,Utilities Accounting - Utilities.Accounting,46453.95,9
2012,Utilities B&C - Utilities.Billings & Collections,34606.32,4
2012,Utilities Blucher - Utilities.Blucher Poole WWTP,41858.81,14
2012,Utilities Comm - Utilities.Communications,23235.07,6
2012,Utilities Customer Serv - Utilities.Customer Relations,33111.31,5
2012,Utilities Dillman - Utilities.Dillman Road WWTP,47802.75,19
2012,Utilities Director - Utilities.Department of the Director,20085.58,23
2012,Utilities Engineering - Utilities.Engineering,42536.94,22
2012,Utilities Lab - Utilities.Laboratory,45416.29,4
2012,Utilities Meters - Utilities.Meters,38515.81,13
2012,Utilities Monroe WTP - Utilities.Monroe Water Treatment Plant,37790.94,17
2012,Utilities Purchasing - Utilities.Purchasing,38730.78,5
2012,Utilities Stormwater - Utilities.Stormwater,41255.16,7
2012,Utilities T&D - Utilities.Transmission & Distribution,37790.3,47
2012,Utilities USB - Utilities.Utility Service Board,4262.7,7
2013,Animal - Animal Shelter,24570.25,27
2013,CFRD - Community & Family Resources,33668.28,15
2013,Clerk - Clerk,22893.72,5
2013,Controller - Controller,42998.96,9
2013,Council - Council,18575.88,14
2013,ESD - Economic & Sustainable Dev,35120.96,7
2013,Eng - Engineering,45642.87,9
2013,Facilities - Facilities Maintenance,35095.44,4
2013,Fire - Fire,56053.99,112
