Year,Department,Job Title,Compensation_mean,NumberOfPeople
2012,Animal - Animal Shelter,Administrative Assistant,6734.68,1
2012,Animal - Animal Shelter,Animal Control Officer,41383.98,5
2012,Animal - Animal Shelter,Behaviorial Consultant/Outreach ,29234.96,2
2012,Animal - Animal Shelter,Director,60080.12,1
2012,Animal - Animal Shelter,Kennel Worker,26231.61,8
2012,Animal - Animal Shelter,Secretary,15663.8,4
2012,Animal - Animal Shelter,Shelter Manager,45172.85,1
2012,Animal - Animal Shelter,Specialist,2444.37,5
2012,Animal - Animal Shelter,Volunteer Program Director,16733.84,2
2012,BPS - Board of Public Safety,Public Safety Board Member,634.4,4
2012,CFRD - Community & Family Resources,Administrative Assistant,2452.5,1
2012,CFRD - Community & Family Resources,CBVN Assistant Coordinator,44023.76,1
2012,CFRD - Community & Family Resources,CBVN Coordinator,52905.01,1
2012,CFRD - Community & Family Resources,Dir. Safe & Civil City Program,52973.17,1
2012,CFRD - Community & Family Resources,Director,79931.48,1
2012,CFRD - Community & Family Resources,Health Projects Coordinator,50669.1,1
2012,CFRD - Community & Family Resources,Intern,1507.14,5
2012,CFRD - Community & Family Resources,Latino Outreach Coordinator,39939.48,1
2012,CFRD - Community & Family Resources,Office Manager,36252.4,1
2012,CFRD - Community & Family Resources,Seasonal w/Benefits-budget only,16080.15,1
2012,CFRD - Community & Family Resources,Special Projects Coordinator,55175.51,1
2012,CFRD - Community & Family Resources,Special Projects Prog Specialist,51986.02,1
2012,CFRD - Community & Family Resources,Specialist,12910.2,1
2012,Clerk - Clerk,Administrative Assistant,5276.44,1
2012,Clerk - Clerk,City Clerk,49762.85,1
2012,Clerk - Clerk,Deputy Clerk,23737.95,1
2012,Clerk - Clerk,Hearing Officer,30679.15,1
2012,Clerk - Clerk,Intern,2168.38,3
2012,Controller - Controller,Accounting & Procurement Manager,42451.93,2
2012,Controller - Controller,Accounts Coordinator,31919.79,1
2012,Controller - Controller,Controller,71037.08,1
2012,Controller - Controller,Deputy Controller,62273.72,1
2012,Controller - Controller,Grants Manager,57996.43,1
2012,Controller - Controller,Intern,1200.0,1
2012,Controller - Controller,Payroll Systems Manager,50999.24,1
2012,Council - Council,Council Member,14226.55,9
2012,Council - Council,Council/Administrator Attorney,72276.07,1
2012,Council - Council,Deputy Administrator/Researcher,50466.73,1
2012,Council - Council,Ex-Employee Paid out in 2012,271.33,3
2012,Council - Council,Intern,3324.53,2
2012,ESD - Economic & Sustainable Dev,Assistant Director for the Arts,53999.93,1
2012,ESD - Economic & Sustainable Dev,Director,75283.33,1
2012,ESD - Economic & Sustainable Dev,Intern,1160.0,3
2012,ESD - Economic & Sustainable Dev,Sustainability Coordinator,51496.56,1
2012,Eng - Engineering,Asst. Engineering Services Mgr.,50145.33,1
2012,Eng - Engineering,Engineering Field Specialist,43094.3,2
2012,Eng - Engineering,Engineering Services Manager,71284.2,1
2012,Eng - Engineering,Engineering Technician-AutoCad,34511.85,1
2012,Eng - Engineering,Engineering Technician-Traffic,33354.88,1
2012,Eng - Engineering,Project Engineer,47833.89,1
2012,Eng - Engineering,Project Manager,44923.05,1
2012,Facilities - Maintenance,Downtown Specialist,31599.63,1
2012,Facilities - Maintenance,Facilities Management Coordinato,54179.62,1
2012,Facilities - Maintenance,Maintenance/Custodian,39454.04,1
2012,Facilities - Maintenance,Specialist,3654.32,1
2012,Fire - Fire,Battalion Chief,64970.16,4
2012,Fire - Fire,Captain,61195.83,18
2012,Fire - Fire,Chief,86137.81,1
2012,Fire - Fire,Deputy Chief,67752.81,2
2012,Fire - Fire,Fire Inspection Officer,54187.37,1
2012,Fire - Fire,Fire Prevention Officer,59344.6,1
2012,Fire - Fire,Firefighter 1st Class,54294.31,54
2012,Fire - Fire,Probationary Firefighter,43268.75,1
2012,Fire - Fire,Secretary,33574.94,1
2012,Fire - Fire,Sergeant,55559.67,26
2012,Fleet - Fleet,Apprentice Master Mechanic,37162.82,2
2012,Fleet - Fleet,Inventory Coordinator,24747.09,2
2012,Fleet - Fleet,Manager,57556.98,1
2012,Fleet - Fleet,Master Mechanic,43360.06,5
2012,Fleet - Fleet,Office Manager,39053.41,1
2012,HAND - Housing & Neighborhood Dev,Assistant Director,61461.05,1
2012,HAND - Housing & Neighborhood Dev,Clerical Assistant,11258.25,2
2012,HAND - Housing & Neighborhood Dev,Director,79931.44,1
2012,HAND - Housing & Neighborhood Dev,Neighborhood Compliance Officer,37371.16,5
2012,HAND - Housing & Neighborhood Dev,Program Assistant/Office Manager,45164.27,1
2012,HAND - Housing & Neighborhood Dev,Program Manager,46688.54,5
2012,HAND - Housing & Neighborhood Dev,Secretary,30775.36,3
2012,HR - Human Resources,Administrative Assistant,36954.02,1
2012,HR - Human Resources,Assistant Director,27999.5,2
2012,HR - Human Resources,Benefits Manager/HR Generalist,24305.74,2
2012,HR - Human Resources,Director,83340.67,1
2012,HR - Human Resources,Intern,2833.91,5
2012,HR - Human Resources,Manager - Training & Org. Devel.,24616.22,1
2012,HR - Human Resources,Office Mgr/Work Comp Specialist,43313.56,1
2012,ITS - Information & Technology Service,Application Developer,59093.12,1
